trial,seed,H,fc,method,initial_quantity_price,initial_price_hex,first_feasible_evaluation,first_feasible_price,final_valid,final_price,final_price_hex,best_evaluation,evaluations
1,142345,4,280,BA,33912.9116800000,0D897B2C1D8FE040,128,19971.3795028571,True,5162.0139680000,31276893032AB440,703,5000
2,142346,4,280,BA,33912.9116800000,0D897B2C1D8FE040,27,13826.6336800000,True,5162.0139680000,31276893032AB440,659,5000
3,142347,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,17691.7794400000,True,5162.0139680000,31276893032AB440,1338,5000
4,142348,4,280,BA,33912.9116800000,0D897B2C1D8FE040,7,16895.0620800000,True,5162.0139680000,31276893032AB440,1593,5000
5,142349,4,280,BA,33912.9116800000,0D897B2C1D8FE040,9,15188.2534600000,True,5162.0139680000,31276893032AB440,510,5000
6,142350,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,17452.8568000000,True,5162.0139680000,31276893032AB440,881,5000
7,142351,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,18285.3100000000,True,5162.0139680000,31276893032AB440,1904,5000
8,142352,4,280,BA,33912.9116800000,0D897B2C1D8FE040,4,19016.3414400000,True,5162.0139680000,31276893032AB440,1450,5000
9,142353,4,280,BA,33912.9116800000,0D897B2C1D8FE040,7,14596.8618000000,True,5162.0139680000,31276893032AB440,1419,5000
10,142354,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,18863.5816480000,True,5162.0139680000,31276893032AB440,667,5000
11,142355,4,280,BA,33912.9116800000,0D897B2C1D8FE040,6,15952.6583200000,True,5162.0139680000,31276893032AB440,238,5000
12,142356,4,280,BA,33912.9116800000,0D897B2C1D8FE040,11,18873.1170400000,True,5162.0139680000,31276893032AB440,601,5000
13,142357,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,18972.7185400000,True,5162.0139680000,31276893032AB440,2298,5000
14,142358,4,280,BA,33912.9116800000,0D897B2C1D8FE040,5,15996.9199400000,True,5162.0139680000,31276893032AB440,1113,5000
15,142359,4,280,BA,33912.9116800000,0D897B2C1D8FE040,32,18665.9618000000,True,5162.0139680000,31276893032AB440,723,5000
16,142360,4,280,BA,33912.9116800000,0D897B2C1D8FE040,79,19389.1180600000,True,5196.0779885714,BF1B0FF7134CB440,4857,5000
17,142361,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,20790.1476600000,True,5162.0139680000,31276893032AB440,1238,5000
18,142362,4,280,BA,33912.9116800000,0D897B2C1D8FE040,64,20596.8955600000,True,5162.0139680000,31276893032AB440,499,5000
19,142363,4,280,BA,33912.9116800000,0D897B2C1D8FE040,39,18512.3111782857,True,5162.0139680000,31276893032AB440,1522,5000
20,142364,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,18019.7324800000,True,5162.0139680000,31276893032AB440,1343,5000
21,142365,4,280,BA,33912.9116800000,0D897B2C1D8FE040,3,15395.7438800000,True,5162.0139680000,31276893032AB440,1139,5000
22,142366,4,280,BA,33912.9116800000,0D897B2C1D8FE040,37,17138.1409160000,True,5162.0139680000,31276893032AB440,452,5000
23,142367,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,18594.2186560000,True,5162.0139680000,31276893032AB440,1197,5000
24,142368,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,16813.7957760000,True,5162.0139680000,31276893032AB440,215,5000
25,142369,4,280,BA,33912.9116800000,0D897B2C1D8FE040,13,14433.3689600000,True,5162.0139680000,31276893032AB440,1117,5000
26,142370,4,280,BA,33912.9116800000,0D897B2C1D8FE040,28,19908.9680228571,True,5162.0139680000,31276893032AB440,1112,5000
27,142371,4,280,BA,33912.9116800000,0D897B2C1D8FE040,4,16760.0489600000,True,5162.0139680000,31276893032AB440,436,5000
28,142372,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,17350.3837280000,True,5162.0139680000,31276893032AB440,1203,5000
29,142373,4,280,BA,33912.9116800000,0D897B2C1D8FE040,38,15929.5210000000,True,5162.0139680000,31276893032AB440,243,5000
30,142374,4,280,BA,33912.9116800000,0D897B2C1D8FE040,2,19958.8487080000,True,5162.0139680000,31276893032AB440,718,5000
1,142345,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,54,18545.5054400000,True,5188.9870720000,CC26C0B0FC44B440,2593,5000
2,142346,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,118,19582.5866180000,True,5168.8848800000,E2E47E87E230B440,2214,5000
3,142347,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,133,20690.9252400000,True,5226.1424800000,55BC9179246AB440,1501,5000
4,142348,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,108,17622.6261657143,True,5196.0779885714,BF1B0FF7134CB440,1426,5000
5,142349,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,115,18343.8488600000,True,5162.0139680000,31276893032AB440,3817,5000
6,142350,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,63,15060.0267500000,True,5214.7529920000,266E15C4C05EB440,1467,5000
7,142351,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,58,19889.5029788571,True,5226.1424800000,55BC9179246AB440,1797,5000
8,142352,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,79,17887.1119280000,True,5173.3498240000,5BCF108E5935B440,2197,5000
9,142353,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,144,18871.5329600000,True,5340.1612800000,8065A54929DCB440,1163,5000
10,142354,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,111,15760.0264000000,True,5224.9747428571,7075BF88F968B440,2591,5000
11,142355,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,75,15772.6680000000,True,5219.2715680000,A4FE7A854563B440,3562,5000
12,142356,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,77,20699.7850000000,True,5168.8848800000,E2E47E87E230B440,4769,5000
13,142357,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,109,17852.4348700000,True,5240.6966285714,BF034056B278B440,2795,5000
14,142358,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,45,22638.7992280000,True,5321.5455085714,FA2173A68BC9B440,1296,5000
15,142359,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,164,20455.0976400000,True,5168.8848800000,E2E47E87E230B440,1157,5000
16,142360,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,80,18470.9194160000,True,5183.4390285714,4C2C2D64703FB440,2315,5000
17,142361,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,32,18647.5307520000,True,5253.8461120000,C0C8CB9AD885B440,4904,5000
18,142362,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,40,16385.4519600000,True,5168.8848800000,E2E47E87E230B440,714,5000
19,142363,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,30,19471.0729714286,True,5217.8245942857,9C719C18D361B440,1519,5000
20,142364,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,48,19014.5263680000,True,5162.0139680000,31276893032AB440,4116,5000
21,142365,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,111,16535.5711380000,True,5199.1157440000,B51666A11D4FB440,2195,5000
22,142366,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,181,17216.6176428571,True,5162.0139680000,31276893032AB440,1345,5000
23,142367,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,155,18546.4935142857,True,5214.7529920000,266E15C4C05EB440,3907,5000
24,142368,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,108,16550.0218600000,True,5226.1424800000,55BC9179246AB440,3936,5000
25,142369,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,21,18650.7713371429,True,5176.7035040000,9B90D618B438B440,518,5000
26,142370,4,280,HCA,33912.9116800000,0D897B2C1D8FE040,75,18385.9721500000,True,5183.4390285714,4C2C2D64703FB440,1376,5000
