modBA.bas: sha256=e3a02e88148d9411689e3db37a0f9710559ab0c1aba321cd3ec6f9fc4f183745 bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-20260512-121028: sha256=39a4f235d337b4a62ea5cbf45d9dc8fa19fa0362af96ad8a585def663c864f0b bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-mid-init: sha256=deb9f8d76d7ad0f1a0b757877fed23417ebe675338b104ba66bb8ef382c862a6 bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-postPatchL-prePatchM-20260512-213112: sha256=b0bc3adc7c452e899487934bbdeb909c72128124c839f64e3dec405a59c14d11 bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-postPatchM-prePatchN-20260512-213754: sha256=46b84ac883bf59c2e6d7ffc58af8507e2458c3c78420a01521df4bbc93e37f1a bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-prePatchIH-20260512-192919: sha256=6657b4357ab6f7a89773e74ffdcdde816dfef79eb28e53e9493a0b813e6bbc4c bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-prePatchL-20260512-212017: sha256=2b91b0ea397c6e90f62d556e1bbd9de8e873e15b57fc24e1954de4d282000e44 bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-prePatchO-20260512-221020: sha256=af6d5e3667686e0a66a79bd78e8d0b6efef877a91f3a9bb7e2ddec68e69f7dd9 bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-prePatchP1-20260512-222653: sha256=fa285d3f17d4b6b7e7228f7b294812ca03bf81666b9160b2d20066e41643251b bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
modBA.bas.bak-prePatchP2-20260512-222709: sha256=2b91b0ea397c6e90f62d556e1bbd9de8e873e15b57fc24e1954de4d282000e44 bounds=['MaxBase', 'MaxTBase', 'Maxtb', 'MinBase', 'MinTBase', 'Mintb']
