eta,geometry_row,screening_estimate,tt,tb,TBase,Base,toe,heel,stemDB,stemSP,toeDB,toeSP,heelDB,heelSP
0,2671,13913.9886060000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,0.3000000000,2.4500000000,28,0.1000000000,12,0.2500000000,20,0.2500000000
0,2672,13898.8252140000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,0.4000000000,2.3500000000,28,0.1000000000,12,0.2500000000,20,0.2500000000
0,2673,13820.8759020000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,0.5000000000,2.2500000000,28,0.1000000000,12,0.2500000000,12,0.1000000000
0,2674,13808.0817900000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,0.6000000000,2.1500000000,28,0.1000000000,12,0.2500000000,12,0.1000000000
0,2675,13737.2403180000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,0.7000000000,2.0500000000,28,0.1000000000,12,0.2500000000,16,0.2000000000
0,2676,13726.8154860000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,0.8000000000,1.9500000000,28,0.1000000000,12,0.2500000000,16,0.2000000000
0,2677,13716.3906540000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,0.9000000000,1.8500000000,28,0.1000000000,12,0.2500000000,16,0.2000000000
0,2678,13604.0867820000,0.2000000000,0.2500000000,0.6500000000,3.0000000000,1.0000000000,1.7500000000,28,0.1000000000,12,0.2500000000,12,0.1500000000
0,2791,13044.9236760000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,0.3000000000,2.4500000000,25,0.1000000000,12,0.2500000000,12,0.1000000000
0,2792,13032.1295640000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,0.4000000000,2.3500000000,25,0.1000000000,12,0.2500000000,12,0.1000000000
0,2793,12956.5495320000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,0.5000000000,2.2500000000,25,0.1000000000,12,0.2500000000,16,0.2000000000
0,2794,12946.1247000000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,0.6000000000,2.1500000000,25,0.1000000000,12,0.2500000000,16,0.2000000000
0,2795,12935.6998680000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,0.7000000000,2.0500000000,25,0.1000000000,12,0.2500000000,16,0.2000000000
0,2796,12836.1901080000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,0.8000000000,1.9500000000,25,0.1000000000,12,0.2500000000,16,0.2500000000
0,2797,12808.2326040000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,0.9000000000,1.8500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
0,2798,12802.5463320000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,1.0000000000,1.7500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
0,2799,12796.8600600000,0.2000000000,0.2500000000,0.7000000000,3.0000000000,1.1000000000,1.6500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
0,3034,12786.0636560000,0.2000000000,0.2500000000,0.8000000000,3.0000000000,0.6000000000,2.1500000000,28,0.1500000000,12,0.2500000000,16,0.2500000000
0,3035,12756.2107280000,0.2000000000,0.2500000000,0.8000000000,3.0000000000,0.7000000000,2.0500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
0,3036,12750.5244560000,0.2000000000,0.2500000000,0.8000000000,3.0000000000,0.8000000000,1.9500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
0,3037,12744.8381840000,0.2000000000,0.2500000000,0.8000000000,3.0000000000,0.9000000000,1.8500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
0,3038,12739.1519120000,0.2000000000,0.2500000000,0.8000000000,3.0000000000,1.0000000000,1.7500000000,28,0.1500000000,12,0.2500000000,12,0.1500000000
0,3039,12660.6102800000,0.2000000000,0.2500000000,0.8000000000,3.0000000000,1.1000000000,1.6500000000,28,0.1500000000,12,0.2500000000,12,0.2000000000
