eta,part,DB,spacing,depth,As,moment,fc,fs,legacy_flexure,selected
0,0,12,0.1000000000,0.3690000000,11.3097335529,10.3823000000,84.3440861864,2659.0922797916,False,False
0,0,12,0.1500000000,0.3690000000,7.5398223686,10.3823000000,100.1366642051,3943.2144597170,False,False
0,0,12,0.2000000000,0.3690000000,5.6548667765,10.3823000000,113.4835278859,5220.9950061733,False,False
0,0,12,0.2500000000,0.3690000000,4.5238934212,10.3823000000,125.2583896632,6494.7300883268,False,False
0,0,16,0.1000000000,0.3670000000,20.1061929830,10.3823000000,67.4570850758,1534.5027816090,True,False
0,0,16,0.1500000000,0.3670000000,13.4041286553,10.3823000000,79.3203191768,2268.4851747793,False,False
0,0,16,0.2000000000,0.3670000000,10.0530964915,10.3823000000,89.3650532350,2997.6501736260,False,False
0,0,16,0.2500000000,0.3670000000,8.0424771932,10.3823000000,98.2358617432,3723.7448429504,False,False
0,0,20,0.1000000000,0.3650000000,31.4159265359,10.3823000000,57.4924997444,1006.5360132131,True,False
0,0,20,0.1500000000,0.3650000000,20.9439510239,10.3823000000,66.9820351741,1483.8848303249,True,False
0,0,20,0.2000000000,0.3650000000,15.7079632679,10.3823000000,75.0356512368,1957.3290218264,False,False
0,0,20,0.2500000000,0.3650000000,12.5663706144,10.3823000000,82.1572841718,2428.2865136593,False,False
0,0,25,0.1000000000,0.3625000000,49.0873852123,10.3823000000,49.7117956034,663.3833608560,True,False
0,0,25,0.1500000000,0.3625000000,32.7249234749,10.3823000000,57.2851969461,975.0902810131,True,False
0,0,25,0.2000000000,0.3625000000,24.5436926062,10.3823000000,63.7351680954,1283.6230726193,True,False
0,0,25,0.2500000000,0.3625000000,19.6349540849,10.3823000000,69.4499962360,1590.1353445647,True,True
0,0,28,0.1000000000,0.3610000000,61.5752160104,10.3823000000,46.4690413984,537.8600343224,True,False
0,0,28,0.1500000000,0.3610000000,41.0501440069,10.3823000000,53.2135495134,789.3703358832,True,False
0,0,28,0.2000000000,0.3610000000,30.7876080052,10.3823000000,58.9713053711,1038.0207028234,True,False
0,0,28,0.2500000000,0.3610000000,24.6300864041,10.3823000000,64.0797395887,1284.8504061456,True,False
0,1,12,0.1000000000,0.2190000000,11.3097335529,4.1674250560,77.8193951976,1830.8627631731,False,False
0,1,12,0.1500000000,0.2190000000,7.5398223686,4.1674250560,91.6047088121,2707.5198655675,False,False
0,1,12,0.2000000000,0.2190000000,5.6548667765,4.1674250560,103.2741002153,3578.5869009944,False,False
0,1,12,0.2500000000,0.2190000000,4.5238934212,4.1674250560,113.5783247432,4446.0907922338,False,False
0,1,16,0.1000000000,0.2170000000,20.1061929830,4.1674250560,63.5661440304,1065.4823842569,True,False
0,1,16,0.1500000000,0.2170000000,13.4041286553,4.1674250560,73.9349992735,1570.0439235710,True,False
0,1,16,0.2000000000,0.2170000000,10.0530964915,4.1674250560,82.7390921228,2070.3278641191,False,False
0,1,16,0.2500000000,0.2170000000,8.0424771932,4.1674250560,90.5264437904,2567.8878715295,False,False
0,1,20,0.1000000000,0.2150000000,31.4159265359,4.1674250560,55.3024344779,704.3900802390,True,False
0,1,20,0.1500000000,0.2150000000,20.9439510239,4.1674250560,63.5991421498,1034.8389635563,True,False
0,1,20,0.2000000000,0.2150000000,15.7079632679,4.1674250560,70.6703254367,1361.7977743327,True,False
0,1,20,0.2500000000,0.2150000000,12.5663706144,4.1674250560,76.9381769573,1686.5349662687,True,True
0,1,25,0.1000000000,0.2125000000,49.0873852123,4.1674250560,49.0253103920,468.4545239011,True,False
0,1,25,0.1500000000,0.2125000000,32.7249234749,4.1674250560,55.6410717378,686.1511548827,True,False
0,1,25,0.2000000000,0.2125000000,24.5436926062,4.1674250560,61.3110744774,900.9921074370,True,False
0,1,25,0.2500000000,0.2125000000,19.6349540849,4.1674250560,66.3529734163,1114.0137217546,True,False
0,1,28,0.1000000000,0.2110000000,61.5752160104,4.1674250560,46.4981049614,381.7277571926,True,False
0,1,28,0.1500000000,0.2110000000,41.0501440069,4.1674250560,52.3833629184,558.3210239896,True,False
0,1,28,0.2000000000,0.2110000000,30.7876080052,4.1674250560,57.4461386269,732.3343590448,True,False
0,1,28,0.2500000000,0.2110000000,24.6300864041,4.1674250560,61.9578403479,904.7017557051,True,False
0,2,12,0.1000000000,0.2190000000,11.3097335529,5.1151701617,95.5168822404,2247.2328717570,False,False
0,2,12,0.1500000000,0.2190000000,7.5398223686,5.1151701617,112.4372164812,3323.2570814281,False,False
0,2,12,0.2000000000,0.2190000000,5.6548667765,5.1151701617,126.7604309144,4392.4199454555,False,False
0,2,12,0.2500000000,0.2190000000,4.5238934212,5.1151701617,139.4080157268,5457.2093441932,False,False
0,2,16,0.1000000000,0.2170000000,20.1061929830,5.1151701617,78.0221932901,1307.7916522974,True,False
0,2,16,0.1500000000,0.2170000000,13.4041286553,5.1151701617,90.7491069690,1927.0992813443,False,False
0,2,16,0.2000000000,0.2170000000,10.0530964915,5.1151701617,101.5554040082,2541.1565110972,False,False
0,2,16,0.2500000000,0.2170000000,8.0424771932,5.1151701617,111.1137351969,3151.8703378322,False,False
0,2,20,0.1000000000,0.2150000000,31.4159265359,5.1151701617,67.8791721296,864.5806636588,True,False
0,2,20,0.1500000000,0.2150000000,20.9439510239,5.1151701617,78.0626957570,1270.1793835428,True,False
0,2,20,0.2000000000,0.2150000000,15.7079632679,5.1151701617,86.7419893908,1671.4943275498,True,True
0,2,20,0.2500000000,0.2150000000,12.5663706144,5.1151701617,94.4352596105,2070.0824178640,False,False
0,2,25,0.1000000000,0.2125000000,49.0873852123,5.1151701617,60.1745206014,574.9892488988,True,False
0,2,25,0.1500000000,0.2125000000,32.7249234749,5.1151701617,68.2948214055,842.1938887292,True,False
0,2,25,0.2000000000,0.2125000000,24.5436926062,5.1151701617,75.2542816096,1105.8934190768,True,False
0,2,25,0.2500000000,0.2125000000,19.6349540849,5.1151701617,81.4427962594,1367.3598619574,True,False
0,2,28,0.1000000000,0.2110000000,61.5752160104,5.1151701617,57.0725846008,468.5393035896,True,False
0,2,28,0.1500000000,0.2110000000,41.0501440069,5.1151701617,64.2962528111,685.2929576916,True,False
0,2,28,0.2000000000,0.2110000000,30.7876080052,5.1151701617,70.5103919718,898.8799585996,True,False
0,2,28,0.2500000000,0.2110000000,24.6300864041,5.1151701617,76.0481333137,1110.4467060289,True,False
1,0,12,0.1000000000,0.3190000000,11.3097335529,9.7262000000,99.5562616704,2894.8291385277,False,False
1,0,12,0.1500000000,0.3190000000,7.5398223686,9.7262000000,117.9378566742,4289.6678434098,False,False
1,0,12,0.2000000000,0.3190000000,5.6548667765,9.7262000000,133.4786348660,5677.1081958264,False,False
1,0,12,0.2500000000,0.3190000000,4.5238934212,9.7262000000,147.1918596247,7059.8299601383,False,False
1,0,16,0.1000000000,0.3170000000,20.1061929830,9.7262000000,80.0430248937,1674.0415789671,True,True
1,0,16,0.1500000000,0.3170000000,13.4041286553,9.7262000000,93.8550429140,2472.6297609235,False,False
