eta,part,DB,spacing,depth,As,moment,fc,fs,legacy_flexure,selected
1,0,12,0.1000000000,0.3190000000,11.3097335529,9.7262000000,92.7122048819,2912.0678564302,False,False
1,0,12,0.1500000000,0.3190000000,7.5398223686,9.7262000000,109.5193987085,4311.2346027932,False,False
1,0,12,0.2000000000,0.3190000000,5.6548667765,9.7262000000,123.7365916604,5702.3141325650,False,False
1,0,12,0.2500000000,0.3190000000,4.5238934212,9.7262000000,136.2855430817,7088.2371154112,False,False
1,0,16,0.1000000000,0.3170000000,20.1061929830,9.7262000000,74.9127526445,1686.5534043363,True,True
1,0,16,0.1500000000,0.3170000000,13.4041286553,9.7262000000,87.5244061808,2488.4377290571,False,False
1,0,16,0.2000000000,0.3170000000,10.0530964915,9.7262000000,98.2194762955,3284.1643965345,False,False
1,0,16,0.2500000000,0.3170000000,8.0424771932,9.7262000000,107.6728155131,4075.9686823714,False,False
1,0,20,0.1000000000,0.3150000000,31.4159265359,9.7262000000,64.4780245076,1109.8600794510,True,False
1,0,20,0.1500000000,0.3150000000,20.9439510239,9.7262000000,74.5495847992,1632.7720055090,True,False
1,0,20,0.2000000000,0.3150000000,15.7079632679,9.7262000000,83.1172446401,2150.6831986472,False,False
1,0,20,0.2500000000,0.3150000000,12.5663706144,9.7262000000,90.7034419494,2665.4108943171,False,False
1,0,25,0.1000000000,0.3125000000,49.0873852123,9.7262000000,56.4091705505,734.0907503525,True,False
1,0,25,0.1500000000,0.3125000000,32.7249234749,9.7262000000,64.4248894941,1076.6982172233,True,False
1,0,25,0.2000000000,0.3125000000,24.5436926062,9.7262000000,71.2753998630,1415.2341837708,True,False
1,0,25,0.2500000000,0.3125000000,19.6349540849,9.7262000000,77.3571762562,1751.1778346050,False,False
1,0,28,0.1000000000,0.3110000000,61.5752160104,9.7262000000,53.0851193540,596.3147853821,True,False
1,0,28,0.1500000000,0.3110000000,41.0501440069,9.7262000000,60.2093862821,873.3125624536,True,False
1,0,28,0.2000000000,0.3110000000,30.7876080052,9.7262000000,66.3170988784,1146.6407569823,True,False
1,0,28,0.2500000000,0.3110000000,24.6300864041,9.7262000000,71.7491950837,1417.6308647026,True,False
1,1,12,0.1000000000,0.2190000000,11.3097335529,4.0546635299,70.7269686022,1793.6403215969,False,False
1,1,12,0.1500000000,0.2190000000,7.5398223686,4.0546635299,82.9806553934,2649.7603201589,False,False
1,1,12,0.2000000000,0.2190000000,5.6548667765,4.0546635299,93.3612873299,3499.9329232859,False,False
1,1,12,0.2500000000,0.2190000000,4.5238934212,4.0546635299,102.5313406191,4346.3157560248,False,False
1,1,16,0.1000000000,0.2170000000,20.1061929830,4.0546635299,58.1080469038,1045.5202715504,True,False
1,1,16,0.1500000000,0.2170000000,13.4041286553,4.0546635299,67.3069414131,1538.8670302603,True,False
1,1,16,0.2000000000,0.2170000000,10.0530964915,4.0546635299,75.1275821032,2027.6605316330,False,False
1,1,16,0.2500000000,0.2170000000,8.0424771932,4.0546635299,82.0500083765,2513.5552014989,False,False
1,1,20,0.1000000000,0.2150000000,31.4159265359,4.0546635299,50.8274017639,692.1014759779,True,False
1,1,20,0.1500000000,0.2150000000,20.9439510239,4.0546635299,58.1704729759,1015.5976801581,True,False
1,1,20,0.2000000000,0.2150000000,15.7079632679,4.0546635299,64.4407060740,1335.3790766132,True,False
1,1,20,0.2500000000,0.2150000000,12.5663706144,4.0546635299,70.0045769036,1652.7955305653,True,True
1,1,25,0.1000000000,0.2125000000,49.0873852123,4.0546635299,45.3379876100,460.8504809482,True,False
1,1,25,0.1500000000,0.2125000000,32.7249234749,4.0546635299,51.1730167791,674.2809997707,True,False
1,1,25,0.2000000000,0.2125000000,24.5436926062,4.0546635299,56.1875918724,884.6754042905,True,False
1,1,25,0.2500000000,0.2125000000,19.6349540849,4.0546635299,60.6537471935,1093.1336663666,True,False
1,1,28,0.1000000000,0.2110000000,61.5752160104,4.0546635299,43.1482402478,375.7355090179,True,False
1,1,28,0.1500000000,0.2110000000,41.0501440069,4.0546635299,48.3270611595,549.0150336680,True,False
1,1,28,0.2000000000,0.2110000000,30.7876080052,4.0546635299,52.7966851021,719.5553360368,True,False
1,1,28,0.2500000000,0.2110000000,24.6300864041,4.0546635299,56.7874340915,888.3451143891,True,False
1,2,12,0.1000000000,0.2190000000,11.3097335529,3.9756443653,69.3486086132,1758.6850265676,False,False
1,2,12,0.1500000000,0.2190000000,7.5398223686,3.9756443653,81.3634898691,2598.1205612659,False,False
1,2,12,0.2000000000,0.2190000000,5.6548667765,3.9756443653,91.5418192327,3431.7246061317,False,False
1,2,12,0.2500000000,0.2190000000,4.5238934212,3.9756443653,100.5331622676,4261.6127374134,False,False
1,2,16,0.1000000000,0.2170000000,20.1061929830,3.9756443653,56.9756103173,1025.1446872646,True,False
1,2,16,0.1500000000,0.2170000000,13.4041286553,3.9756443653,65.9952325012,1508.8768753748,True,False
1,2,16,0.2000000000,0.2170000000,10.0530964915,3.9756443653,73.6634609159,1988.1445421400,False,False
1,2,16,0.2500000000,0.2170000000,8.0424771932,3.9756443653,80.4509797332,2464.5698711722,False,False
1,2,20,0.1000000000,0.2150000000,31.4159265359,3.9756443653,49.8368537690,678.6134812046,True,False
1,2,20,0.1500000000,0.2150000000,20.9439510239,3.9756443653,57.0368198012,995.8052412206,True,False
1,2,20,0.2000000000,0.2150000000,15.7079632679,3.9756443653,63.1848556866,1309.3545894087,True,False
1,2,20,0.2500000000,0.2150000000,12.5663706144,3.9756443653,68.6402952192,1620.5850841908,True,True
1,2,25,0.1000000000,0.2125000000,49.0873852123,3.9756443653,44.4544198657,451.8692128913,True,False
1,2,25,0.1500000000,0.2125000000,32.7249234749,3.9756443653,50.1757332783,661.1402987083,True,False
1,2,25,0.2000000000,0.2125000000,24.5436926062,3.9756443653,55.0925820049,867.4344394272,True,False
1,2,25,0.2500000000,0.2125000000,19.6349540849,3.9756443653,59.4716988183,1071.8301701449,True,False
1,2,28,0.1000000000,0.2110000000,61.5752160104,3.9756443653,42.3073473164,368.4130010365,True,False
1,2,28,0.1500000000,0.2110000000,41.0501440069,3.9756443653,47.3852409627,538.3155738899,True,False
1,2,28,0.2000000000,0.2110000000,30.7876080052,3.9756443653,51.7677587995,705.5323076971,True,False
1,2,28,0.2500000000,0.2110000000,24.6300864041,3.9756443653,55.6807342204,871.0326325122,True,False
