evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
307,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.5750000000,0.6000000000,0.3000000000,3.0000000000,0.8000000000,101,113,104,111,103,110
308,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.6000000000,0.6000000000,0.5500000000,2.5000000000,0.5000000000,100,110,104,113,104,112
309,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.6000000000,0.6000000000,0.3500000000,2.5000000000,0.9000000000,100,110,104,113,100,110
310,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,12434.6150000000,0.6000000000,0.6000000000,0.3000000000,2.5000000000,0.7000000000,102,110,104,113,101,111
311,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.6000000000,0.6000000000,0.5000000000,2.5000000000,0.9000000000,104,111,101,113,101,111
312,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.5500000000,0.6000000000,0.3500000000,3.5000000000,0.7000000000,100,110,104,113,100,110
313,neighbor,False,MEMBER_FLEXURE,999999999.0000000000,12434.6150000000,0.6000000000,0.6000000000,0.3000000000,3.5000000000,0.8000000000,104,113,103,113,101,111
314,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.5500000000,0.6000000000,0.3500000000,3.0000000000,0.5000000000,101,113,104,113,104,110
315,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.5750000000,0.6000000000,0.3000000000,2.5000000000,0.9000000000,100,112,104,113,103,112
316,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.6000000000,0.6000000000,0.5500000000,2.5000000000,0.7000000000,104,111,101,113,102,110
317,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,12434.6150000000,0.5500000000,0.6000000000,0.3000000000,2.5000000000,0.6000000000,103,110,103,111,100,112
318,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,16145.3270400000,12434.6150000000,0.6000000000,0.6000000000,0.3000000000,3.0000000000,0.8000000000,104,110,101,112,102,110
