evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,PASS_IMPLEMENTED_PROJECT_CHECKS,21582.5343600000,21582.5343600000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,19064.2263400000,19064.2263400000,0.5500000000,0.6000000000,0.7000000000,3.5000000000,0.8000000000,104,111,104,111,104,110
3,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,19781.3283200000,19064.2263400000,0.5500000000,0.5500000000,0.6000000000,3.5000000000,0.9000000000,104,110,104,111,104,110
4,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,18068.5144850000,18068.5144850000,0.5750000000,0.6000000000,0.4500000000,3.5000000000,0.9000000000,104,110,104,111,104,112
5,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,18068.5144850000,0.5250000000,0.6000000000,0.3000000000,3.5000000000,0.8000000000,102,112,104,113,104,112
6,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,16875.3692100000,16875.3692100000,0.5250000000,0.5500000000,0.7000000000,3.5000000000,0.9000000000,103,111,104,111,102,110
7,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,18303.0332200000,16875.3692100000,0.5500000000,0.5500000000,0.7500000000,3.5000000000,1.0000000000,104,112,104,111,104,110
8,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,16875.3692100000,0.5000000000,0.5500000000,0.7500000000,3.5000000000,0.8000000000,102,113,102,110,100,110
