evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,False,WSD_CRITERIA_UNVERIFIED,23236.8841200000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,False,WSD_CRITERIA_UNVERIFIED,17783.8647400000,999999999.0000000000,0.5500000000,0.5500000000,0.7500000000,3.5000000000,1.0000000000,104,112,103,112,103,111
3,neighbor,False,WSD_CRITERIA_UNVERIFIED,17893.0490600000,999999999.0000000000,0.5500000000,0.5500000000,0.7500000000,3.5000000000,0.8000000000,104,112,104,112,102,110
4,neighbor,False,WSD_CRITERIA_UNVERIFIED,21628.5911200000,999999999.0000000000,0.5000000000,0.5000000000,0.7500000000,3.5000000000,0.8000000000,104,110,104,110,103,110
