algorithm,trial,evaluations,best_cost,best_evaluation,valid,FS_OT,FS_SL,FS_BC,recoveries,tb,TBase,Base,wall_height,fc
BA,1,5000,8627.3597200000,478,True,2.6974491607,1.9099881702,3.1010923272,0,0.5000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,2,5000,8538.4189200000,567,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,3,5000,8540.1958800000,749,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,4,5000,8538.4189200000,404,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,5,5000,8538.4189200000,752,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,6,5000,8627.3597200000,1369,True,2.6974491607,1.9099881702,3.1010923272,0,0.5000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,7,5000,8627.3597200000,758,True,2.6974491607,1.9099881702,3.1010923272,0,0.5000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,8,5000,8627.3597200000,871,True,2.6974491607,1.9099881702,3.1010923272,0,0.5000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,9,5000,8538.4189200000,820,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,10,5000,8538.4189200000,1482,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,11,5000,8538.4189200000,1370,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,12,5000,8617.8942560000,850,True,2.7221593826,1.9340218065,3.0445752371,0,0.4000000000,0.3500000000,3.0000000000,5.0000000000,320.0000000000
BA,13,5000,8538.4189200000,620,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,14,5000,8538.4189200000,1610,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,15,5000,8540.1958800000,1148,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,16,5000,8540.1958800000,1246,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,17,5000,8617.8942560000,546,True,2.7221593826,1.9340218065,3.0445752371,0,0.4000000000,0.3500000000,3.0000000000,5.0000000000,320.0000000000
BA,18,5000,8538.4189200000,545,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,19,5000,8538.4189200000,235,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
BA,20,5000,8538.4189200000,992,True,2.7132995759,1.9281094468,3.0526883300,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,1,5000,8781.1084700000,4875,True,2.7086015022,1.9193124894,3.0777110684,0,0.5000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,2,5000,8540.1958800000,2856,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
HCA,3,5000,8540.1958800000,2198,True,2.7965992866,2.0211334468,2.7994737833,0,0.4000000000,0.3000000000,3.0000000000,5.0000000000,320.0000000000
