eta,Pa,Pp,active_arm,passive_arm,MO,MR,W,xR,e,qtoe,qheel,Mstem,Mtoe,Mheel,FSot,FSsl,FSbc,cost
0,7.5000000000,0.0000000000,1.6666666667,0.4000000000,12.5000000000,37.2279980308,19.9137765957,1.2417533114,0.2582466886,10.0663701071,3.2094809567,10.3823000000,4.1674250560,5.1151701617,2.9782398425,1.5931021277,2.9802202463,9144.0755000000
1,7.5000000000,3.8880000000,1.6666666667,0.4000000000,10.9448000000,37.2279980308,19.9137765957,1.3198499995,0.1801500005,9.0295701071,4.2462809567,9.7262000000,3.6934922560,4.3764357617,3.1026558425,2.1115021277,3.3224173071,9144.0755000000
