trial,seed,H,fc,method,initial_quantity_price,initial_price_hex,first_feasible_evaluation,first_feasible_price,final_valid,final_price,final_price_hex,best_evaluation,evaluations
1,142345,5,320,BA,38041.6588800000,7F828B153593E240,22,22672.2547000000,True,9159.5083800000,F9889812C1E3C140,1547,5000
2,142346,5,320,BA,38041.6588800000,7F828B153593E240,2,26387.4244200000,True,9148.6245000000,2DB29DEF4FDEC140,803,5000
3,142347,5,320,BA,38041.6588800000,7F828B153593E240,2,20689.1866400000,True,9151.4647500000,6991ED7CBBDFC140,3487,5000
4,142348,5,320,BA,38041.6588800000,7F828B153593E240,13,15414.6970000000,True,9087.9369642857,551A72EEF7BFC140,1742,5000
5,142349,5,320,BA,38041.6588800000,7F828B153593E240,2,24800.6241080000,True,9236.0500800000,177D0569060AC240,591,5000
6,142350,5,320,BA,38041.6588800000,7F828B153593E240,2,20418.1790000000,True,9403.5194880000,5531957EC25DC240,3966,5000
7,142351,5,320,BA,38041.6588800000,7F828B153593E240,2,20942.3825000000,True,9159.5083800000,F9889812C1E3C140,612,5000
8,142352,5,320,BA,38041.6588800000,7F828B153593E240,3,24211.4199100000,True,9345.2035500000,8D28ED0D9A40C240,1579,5000
9,142353,5,320,BA,38041.6588800000,7F828B153593E240,12,25264.8012500000,True,9451.7095611429,8B47E6D2DA75C240,1332,5000
10,142354,5,320,BA,38041.6588800000,7F828B153593E240,2,21676.9269080000,True,9087.9369642857,551A72EEF7BFC140,570,5000
11,142355,5,320,BA,38041.6588800000,7F828B153593E240,2,21446.5349000000,True,9087.9369642857,551A72EEF7BFC140,1176,5000
12,142356,5,320,BA,38041.6588800000,7F828B153593E240,2,25591.8992340000,True,9087.9369642857,551A72EEF7BFC140,3089,5000
13,142357,5,320,BA,38041.6588800000,7F828B153593E240,2,21986.0560400000,True,9345.2035500000,8D28ED0D9A40C240,1446,5000
14,142358,5,320,BA,38041.6588800000,7F828B153593E240,3,20538.8116700000,True,9236.0500800000,177D0569060AC240,4356,5000
15,142359,5,320,BA,38041.6588800000,7F828B153593E240,2,26044.7290000000,True,9087.9369642857,551A72EEF7BFC140,2586,5000
16,142360,5,320,BA,38041.6588800000,7F828B153593E240,5,22881.5975000000,True,9451.7095611429,8B47E6D2DA75C240,568,5000
17,142361,5,320,BA,38041.6588800000,7F828B153593E240,2,24029.0748600000,True,9087.9369642857,551A72EEF7BFC140,750,5000
18,142362,5,320,BA,38041.6588800000,7F828B153593E240,2,25973.6676600000,True,9130.4174142857,04D1D46D35D5C140,3128,5000
19,142363,5,320,BA,38041.6588800000,7F828B153593E240,7,23354.7082650000,True,9087.9369642857,551A72EEF7BFC140,1908,5000
20,142364,5,320,BA,38041.6588800000,7F828B153593E240,2,20879.3574800000,True,9130.4174142857,04D1D46D35D5C140,1726,5000
21,142365,5,320,BA,38041.6588800000,7F828B153593E240,2,21830.1062900000,True,9130.4174142857,04D1D46D35D5C140,2410,5000
22,142366,5,320,BA,38041.6588800000,7F828B153593E240,2,27766.4751200000,True,9087.9369642857,551A72EEF7BFC140,366,5000
23,142367,5,320,BA,38041.6588800000,7F828B153593E240,2,21610.8139160000,True,9403.5194880000,5531957EC25DC240,1451,5000
24,142368,5,320,BA,38041.6588800000,7F828B153593E240,6,20547.7294200000,True,9148.6245000000,2DB29DEF4FDEC140,1548,5000
25,142369,5,320,BA,38041.6588800000,7F828B153593E240,2,24628.0159720000,True,9159.5083800000,F9889812C1E3C140,1532,5000
26,142370,5,320,BA,38041.6588800000,7F828B153593E240,10,24509.7959200000,True,9151.4647500000,6991ED7CBBDFC140,4268,5000
27,142371,5,320,BA,38041.6588800000,7F828B153593E240,4,19582.8961600000,True,9087.9369642857,551A72EEF7BFC140,1528,5000
28,142372,5,320,BA,38041.6588800000,7F828B153593E240,2,19829.4087280000,True,9148.6245000000,2DB29DEF4FDEC140,2486,5000
29,142373,5,320,BA,38041.6588800000,7F828B153593E240,8,22525.8991200000,True,9130.4174142857,04D1D46D35D5C140,4501,5000
30,142374,5,320,BA,38041.6588800000,7F828B153593E240,2,23052.5109080000,True,9130.4174142857,04D1D46D35D5C140,3182,5000
1,142345,5,320,HCA,38041.6588800000,7F828B153593E240,45,24576.3867360000,True,9407.2249760000,317903CC9C5FC240,4242,5000
2,142346,5,320,HCA,38041.6588800000,7F828B153593E240,52,30428.0458400000,True,9174.4712142857,47EDBF503CEBC140,2875,5000
3,142347,5,320,HCA,38041.6588800000,7F828B153593E240,35,23704.2699400000,True,9424.7355837143,2A6E9B275E68C240,2552,5000
4,142348,5,320,HCA,38041.6588800000,7F828B153593E240,43,26863.3829257143,True,9327.6622685714,BA6F37C5D437C240,4037,5000
5,142349,5,320,HCA,38041.6588800000,7F828B153593E240,43,31002.0348300000,True,9686.0179840000,EDB94C4D02EBC240,3681,5000
6,142350,5,320,HCA,38041.6588800000,7F828B153593E240,52,28164.0136400000,True,9446.9104160000,E1F082887473C240,2209,5000
7,142351,5,320,HCA,38041.6588800000,7F828B153593E240,26,27479.2415100000,True,9364.4989028571,A87F0CDC3F4AC240,2181,5000
8,142352,5,320,HCA,38041.6588800000,7F828B153593E240,24,26717.4200214286,True,9349.3806685714,736CBFB9B042C240,2883,5000
9,142353,5,320,HCA,38041.6588800000,7F828B153593E240,21,29268.4053120000,True,9662.0827340000,221807970ADFC240,4938,5000
10,142354,5,320,HCA,38041.6588800000,7F828B153593E240,49,26922.2395960000,True,9682.8286800000,6CAD2F126AE9C240,176,5000
11,142355,5,320,HCA,38041.6588800000,7F828B153593E240,51,24963.8581150000,True,9590.6180357143,4F56CB1B4FBBC240,2785,5000
12,142356,5,320,HCA,38041.6588800000,7F828B153593E240,14,24033.4379300000,True,9148.6245000000,2DB29DEF4FDEC140,4325,5000
13,142357,5,320,HCA,38041.6588800000,7F828B153593E240,79,26976.4782000000,True,10434.0209200000,EAAD81AD0261C440,4959,5000
