eta,geometry_rows,stable_rows,screened_rows,steel_checks,best_row,screening_estimate,tt,tb,TBase,Base,toe,heel,stemDB,stemSP,toeDB,toeSP,heelDB,heelSP
0,520200,292021,288781,17391660,9039,9144.0755000000,0.2000000000,0.4500000000,0.3000000000,3.0000000000,1.1000000000,1.4500000000,25,0.2500000000,20,0.2500000000,20,0.2000000000
1,520200,309671,306427,18450500,7228,8273.1436800000,0.2000000000,0.4000000000,0.3000000000,2.5000000000,1.0000000000,1.1000000000,16,0.1000000000,20,0.2500000000,20,0.2500000000
