evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
2856,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,7474.4908080000,4985.5646400000,0.2250000000,0.3000000000,0.3000000000,2.5000000000,0.6000000000,102,110,101,113,102,110
2857,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,6129.8197600000,4985.5646400000,0.2500000000,0.4000000000,0.3000000000,2.0000000000,0.7000000000,101,110,100,111,100,111
2858,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5339.0501100000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.6000000000,101,111,101,112,103,112
2859,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,112,100,111,100,111
2860,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5029.3963200000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,101,112
2861,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,4985.5646400000,0.2000000000,0.4000000000,0.3000000000,2.0000000000,0.8000000000,102,113,104,110,104,110
2862,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5391.0076800000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,104,112
2863,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5226.9942720000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.8000000000,101,111,104,113,101,113
2864,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5128.0916400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,103,113,100,111
2865,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5534.8427200000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.8000000000,101,111,104,111,101,111
2866,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3500000000,0.3000000000,2.0000000000,0.7000000000,104,112,100,111,100,111
2867,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.2500000000,0.3000000000,2.0000000000,0.7000000000,104,112,100,111,100,111
2868,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,104,110,100,111,100,111
2869,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5081.8166400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,102,112,100,111
2870,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5802.4814400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.7000000000,101,111,101,112,101,110
2871,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.2500000000,0.3000000000,2.5000000000,0.5000000000,103,110,100,112,101,113
2872,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,104,111,100,111,100,111
2873,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5185.9353900000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,103,112,100,111
2874,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,100,110,100,111,100,111
2875,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5979.6935500000,4985.5646400000,0.2500000000,0.2500000000,0.3000000000,2.0000000000,0.5000000000,104,113,103,112,100,110
2876,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5128.0916400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,103,113,100,111
2877,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5128.0916400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,103,113,100,111
2878,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,4985.5646400000,0.2000000000,0.2000000000,0.3000000000,2.0000000000,0.5000000000,101,110,101,110,104,113
2879,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2500000000,0.4000000000,0.3000000000,2.5000000000,0.6000000000,104,110,101,112,100,110
2880,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5443.6254400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,110,100,111,100,111
2881,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5391.0076800000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,104,112
2882,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5347.1760000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.8000000000,101,111,100,111,104,112
2883,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5391.0076800000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,104,112
2884,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5411.4180400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,103,113,100,111,100,111
2885,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5128.0916400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,103,113,100,111
2886,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5219.3336000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,102,111
2887,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,104,110,100,111
2888,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5401.9656000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,102,110
2889,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3500000000,2.0000000000,0.6000000000,101,111,100,112,101,113
2890,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5896.3497600000,4985.5646400000,0.2000000000,0.4000000000,0.3000000000,2.0000000000,0.7000000000,101,110,100,111,100,111
2891,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.7000000000,104,112,103,113,104,112
2892,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,113,100,111
2893,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,104,111,100,111,100,111
2894,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.2000000000,0.4000000000,2.0000000000,0.7000000000,101,110,100,113,100,110
2895,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5500.8830400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,102,111,100,111,100,111
2896,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,103,110,100,111
2897,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,4994.3309760000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,101,113
2898,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,104,110,100,111
2899,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5869.5514800000,4985.5646400000,0.2250000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,104,113,100,111,100,111
2900,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,100,111,100,111,100,111
2901,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5186.9534400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,104,113,100,111
2902,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5259.5126400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,104,112,100,111
2903,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,6313.1758800000,4985.5646400000,0.2500000000,0.2500000000,0.3000000000,2.0000000000,0.7000000000,103,111,100,111,100,111
2904,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,4985.5646400000,0.2000000000,0.2000000000,0.3000000000,2.0000000000,0.8000000000,101,110,101,113,102,113
2905,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5401.9656000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,102,110
2906,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5929.2379200000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.6000000000,101,111,102,111,101,110
2907,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,103,110
2908,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,5196.5046000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,103,113
2909,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,4991.4878400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,101,113,100,111
2910,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,104,110,100,111
2911,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,4985.5646400000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.7000000000,101,111,100,111,100,111
2912,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,4985.5646400000,0.2000000000,0.3000000000,0.3000000000,2.0000000000,0.8000000000,104,112,101,113,100,111
