evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
116,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,8538.4189200000,0.2250000000,0.3000000000,0.5500000000,3.0000000000,1.0000000000,103,110,101,111,104,113
117,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8538.4189200000,0.2500000000,0.3500000000,0.4500000000,2.5000000000,0.9000000000,102,110,100,112,102,113
118,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8538.4189200000,0.2000000000,0.3000000000,0.3000000000,3.0000000000,1.0000000000,101,111,103,113,102,113
119,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8538.4189200000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.9000000000,100,111,100,113,104,113
120,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8538.4189200000,0.2250000000,0.3000000000,0.5000000000,3.5000000000,0.9000000000,101,112,102,110,104,113
121,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8538.4189200000,0.2000000000,0.4000000000,0.5500000000,3.0000000000,1.0000000000,100,111,101,113,102,113
122,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8538.4189200000,0.2250000000,0.4000000000,0.3000000000,3.5000000000,1.0000000000,101,111,100,110,104,113
123,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8538.4189200000,0.2000000000,0.4000000000,0.3500000000,2.5000000000,1.0000000000,102,110,100,113,102,113
124,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8538.4189200000,0.2250000000,0.3000000000,0.4000000000,2.5000000000,0.8000000000,100,110,100,110,102,112
125,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8538.4189200000,0.2500000000,0.3000000000,0.3500000000,2.5000000000,1.0000000000,102,110,101,112,104,112
