part,DB,SP,depth,As,minimum,M,v,fc_bound,fs_bound,ld,length
0,16,0.1000000000,0.3170000000,20.1061929830,11.2770282512,9.0399500000,1.5919614174,84.8536989898,1693.2786764310,0.0000000000,4.4750000000
1,16,0.1000000000,0.3670000000,20.1061929830,9.0000000000,3.4273837252,1.7738378128,22.2687955018,506.5669321801,0.0000000000,0.9250000000
2,16,0.1000000000,0.3670000000,20.1061929830,9.0000000000,5.2064028829,1.5645765825,33.8276453397,769.5057651959,0.0000000000,1.5250000000
totals,2.7602508436,1.9640588901,2.9811152294,2.8287500000,109.3817600000,0.0000000000,10028.0009900000
