eta,part,DB,spacing,depth,As,moment,fc,fs,legacy_flexure,selected
0,0,12,0.1000000000,0.3690000000,11.3097335529,10.3823000000,78.4614972198,2674.0064151507,False,False
0,0,12,0.1500000000,0.3690000000,7.5398223686,10.3823000000,92.9049331489,3961.8377613300,False,False
0,0,12,0.2000000000,0.3690000000,5.6548667765,10.3823000000,105.1172019261,5242.7379172846,False,False
0,0,12,0.2500000000,0.3690000000,4.5238934212,10.3823000000,115.8938384507,6519.2176320939,False,False
0,0,16,0.1000000000,0.3670000000,20.1061929830,10.3823000000,63.0474294931,1545.3561887904,True,False
0,0,16,0.1500000000,0.3670000000,13.4041286553,10.3823000000,73.8841920037,2282.1584389752,False,False
0,0,16,0.2000000000,0.3670000000,10.0530964915,10.3823000000,83.0670654392,3013.6925139105,False,False
0,0,16,0.2500000000,0.3670000000,8.0424771932,10.3823000000,91.1803112571,3741.8699687685,False,False
0,0,20,0.1000000000,0.3650000000,31.4159265359,10.3823000000,53.9743539663,1014.9309403013,True,False
0,0,20,0.1500000000,0.3650000000,20.9439510239,10.3823000000,62.6299123220,1494.5665387870,True,False
0,0,20,0.2000000000,0.3650000000,15.7079632679,10.3823000000,69.9845096090,1969.9304845801,False,False
0,0,20,0.2500000000,0.3650000000,12.5663706144,10.3823000000,76.4923695315,2442.5746533160,False,False
0,0,25,0.1000000000,0.3625000000,49.0873852123,10.3823000000,46.9149252863,669.7916359355,True,False
0,0,25,0.1500000000,0.3625000000,32.7249234749,10.3823000000,53.8074312312,983.3575695033,True,False
0,0,25,0.2000000000,0.3625000000,24.5436926062,10.3823000000,59.6879083167,1293.4508201530,True,False
0,0,25,0.2500000000,0.3625000000,19.6349540849,10.3823000000,64.9033918056,1601.3334358834,True,True
0,0,28,0.1000000000,0.3610000000,61.5752160104,10.3823000000,43.9848043198,543.4096234772,True,False
0,0,28,0.1500000000,0.3610000000,41.0501440069,10.3823000000,50.1137443150,796.5941996539,True,False
0,0,28,0.2000000000,0.3610000000,30.7876080052,10.3823000000,55.3572336035,1046.6506956304,True,False
0,0,28,0.2500000000,0.3610000000,24.6300864041,10.3823000000,60.0151171295,1294.7151766311,True,False
0,1,12,0.1000000000,0.2190000000,11.3097335529,4.1674250560,72.6939088560,1843.5220487371,False,False
