trial,seed,H,fc,method,initial_quantity_price,initial_price_hex,first_feasible_evaluation,first_feasible_price,final_valid,final_price,final_price_hex,best_evaluation,evaluations
12,142356,3,240,HCA,29924.3644800000,02ECA3531739DD40,105,11483.9527557143,True,3124.8811508571,8B843426C369A840,560,5000
13,142357,3,240,HCA,29924.3644800000,02ECA3531739DD40,213,13149.9550920000,True,3114.4563188571,F50FA0A2E954A840,952,5000
14,142358,3,240,HCA,29924.3644800000,02ECA3531739DD40,350,14078.7163680000,True,3094.0466640000,CE0358E4172CA840,877,5000
15,142359,3,240,HCA,29924.3644800000,02ECA3531739DD40,197,10569.2919000000,True,3089.5788788571,8D3FCF622823A840,4017,5000
16,142360,3,240,HCA,29924.3644800000,02ECA3531739DD40,143,14505.0211500000,True,3118.9241040000,35D42824D95DA840,2960,5000
17,142361,3,240,HCA,29924.3644800000,02ECA3531739DD40,70,13249.0539780000,True,3105.5683885714,6AABD3032343A840,1300,5000
18,142362,3,240,HCA,29924.3644800000,02ECA3531739DD40,40,11527.0116617143,True,3118.9241040000,35D42824D95DA840,622,5000
19,142363,3,240,HCA,29924.3644800000,02ECA3531739DD40,31,13830.4010580000,True,3076.9201542857,D668761ED709A840,1738,5000
20,142364,3,240,HCA,29924.3644800000,02ECA3531739DD40,141,10880.6130171429,True,3101.7975942857,3E39475E983BA840,697,5000
21,142365,3,240,HCA,29924.3644800000,02ECA3531739DD40,73,11533.5796800000,True,3105.5683885714,6AABD3032343A840,362,5000
22,142366,3,240,HCA,29924.3644800000,02ECA3531739DD40,180,12248.7815040000,True,3117.4348422857,20E8A5A3DE5AA840,788,5000
23,142367,3,240,HCA,29924.3644800000,02ECA3531739DD40,243,11485.2065400000,True,3111.4777954286,CA379AA1F44EA840,2648,5000
24,142368,3,240,HCA,29924.3644800000,02ECA3531739DD40,99,13674.3941600000,True,3086.6003554286,6267C961331DA840,3649,5000
25,142369,3,240,HCA,29924.3644800000,02ECA3531739DD40,49,14366.4120180000,True,3118.2271131429,21822C48745CA840,450,5000
26,142370,3,240,HCA,29924.3644800000,02ECA3531739DD40,120,9282.6704400000,True,3101.7975942857,3E39475E983BA840,1051,5000
27,142371,3,240,HCA,29924.3644800000,02ECA3531739DD40,179,11902.9957542857,True,3118.9241040000,35D42824D95DA840,2517,5000
28,142372,3,240,HCA,29924.3644800000,02ECA3531739DD40,31,14438.8228200000,True,3101.7975942857,3E39475E983BA840,913,5000
29,142373,3,240,HCA,29924.3644800000,02ECA3531739DD40,121,9988.3787142857,True,3094.0466640000,CE0358E4172CA840,1540,5000
30,142374,3,240,HCA,29924.3644800000,02ECA3531739DD40,111,13173.6977382857,True,3076.9201542857,D668761ED709A840,533,5000
